# Draper and Smith, Applied regression analysis, 3rd edition
# Example 24.3, page 518-519
# 
# Percent of chlorine available as function of time since produced
#
# Model: cl = alpha + (0.49 - alpha) * exp(-beta*(X-8)) + epsilon
time,chlorine
8,0.49
8,0.49
10,0.48
10,0.47
10,0.48
10,0.47
12,0.46
12,0.46
12,0.45
12,0.43
14,0.45
14,0.43
14,0.43
16,0.44
16,0.43
16,0.43
18,0.46
18,0.45
20,0.42
20,0.42
20,0.43
22,0.41
22,0.41
22,0.40
24,0.42
24,0.40
24,0.40
26,0.41
26,0.40
26,0.41
28,0.41
28,0.40
30,0.40
30,0.40
30,0.38
32,0.41
32,0.40
34,0.40
36,0.41
36,0.38
38,0.40
38,0.40
40,0.39
42,0.39
